variable,samples,response,method,test statistic,runtime,p.value,false.negative.01,false.negative.03,false.negative.05,false.negative.07,false.negative.1,false.positive.01,false.positive.03,false.positive.05,false.positive.07,false.positive.1
Noise,400,UL,CQO,0.003935090783764939,184.33900000000722,0.7821782178217822,0,0,0,0,0,0,0,0,0,0
Noise,400,UL,CQO,0.001697770956068363,184.33900000000722,0.8712871287128713,0,0,0,0,0,0,0,0,0,0
env1,625,UL,CQO,4.039367839639639,301.538,0,0,0,0,0,0,0,0,0,0,0
env2,625,UL,CQO,0.6947761033522932,301.538,0.9900990099009901,1,1,1,1,1,0,0,0,0,0
Noise,625,UL,CQO,0.004555664964652162,301.538,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
Noise,625,UL,CQO,0.00967297308652169,301.538,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
env1,625,UL,CQO,1.4017153449914053,411.10899999999947,0,0,0,0,0,0,0,0,0,0,0
env2,625,UL,CQO,1.401648478462247,411.10899999999947,0.4158415841584158,1,1,1,1,1,0,0,0,0,0
Noise,625,UL,CQO,0.002533946454545828,411.10899999999947,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
Noise,625,UL,CQO,0.013470460364889617,411.10899999999947,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
env1,625,UL,CQO,1.3539225371150114,373.1730000000007,0,0,0,0,0,0,0,0,0,0,0
env2,625,UL,CQO,1.3538061799371472,373.1730000000007,0.33663366336633666,1,1,1,1,1,0,0,0,0,0
Noise,625,UL,CQO,0.004229924323017947,373.1730000000007,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
Noise,625,UL,CQO,0.0172463752497567,373.1730000000007,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
env1,625,UL,CQO,1.3443323738810493,357.7429999999986,0,0,0,0,0,0,0,0,0,0,0
env2,625,UL,CQO,1.3442034160922638,357.7429999999986,0.36633663366336633,1,1,1,1,1,0,0,0,0,0
Noise,625,UL,CQO,0.018632824968651047,357.7429999999986,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
Noise,625,UL,CQO,9.541085676038805e-4,357.7429999999986,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
env1,625,UL,CQO,1.2922963566851873,310.0410000000011,0,0,0,0,0,0,0,0,0,0,0
env2,625,UL,CQO,1.292238496545469,310.0410000000011,0.48514851485148514,1,1,1,1,1,0,0,0,0,0
Noise,625,UL,CQO,0.0033781788925669374,310.0410000000011,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
Noise,625,UL,CQO,0.01178377979708269,310.0410000000011,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
